date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,18OCT19,8500,C,0.0225,70.52,20,7902.24,BTC-18OCT19-8500-C
2019-10-07,BTC,18OCT19,8500,C,0.03,66.2,37,8212.11,BTC-18OCT19-8500-C
2019-10-08,BTC,18OCT19,8500,C,0.025,64.09,24,8167.02,BTC-18OCT19-8500-C
2019-10-09,BTC,18OCT19,8500,C,0.046,64.58,70,8611.81,BTC-18OCT19-8500-C
2019-10-10,BTC,18OCT19,8500,C,0.0415,64.17,27,8583.4,BTC-18OCT19-8500-C
2019-10-11,BTC,18OCT19,8500,C,0.018000000000000002,58.26,131,8238.36,BTC-18OCT19-8500-C
2019-10-12,BTC,18OCT19,8500,C,0.0175,53.5,41,8324.03,BTC-18OCT19-8500-C
2019-10-13,BTC,18OCT19,8500,C,0.015,58.77,41,8279.99,BTC-18OCT19-8500-C
2019-10-14,BTC,18OCT19,8500,C,0.013,53.53,34,8347.5,BTC-18OCT19-8500-C
2019-10-15,BTC,18OCT19,8500,C,0.0065,65.54,28,8138.67,BTC-18OCT19-8500-C
2019-10-16,BTC,18OCT19,8500,C,0.002,73.46,43,8005.88,BTC-18OCT19-8500-C
2019-10-17,BTC,18OCT19,8500,C,0.0005,96.7,34,8069.91,BTC-18OCT19-8500-C
