date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-11 05:12:25.646,44496719,BTC-18OCT19-8750-C,1,1570770745646,0.3,0.3,0.0285,sell,1,8666.01,58.72
2019-10-11 07:19:10.565,44564097,BTC-18OCT19-8750-C,2,1570778350565,0.1,0.1,0.02,sell,2,8419.02,63.95
2019-10-11 07:57:15.126,44569307,BTC-18OCT19-8750-C,3,1570780635126,6.5,6.5,0.0175,sell,2,8404.1,60.42
2019-10-11 08:03:59.517,44570864,BTC-18OCT19-8750-C,4,1570781039517,0.1,0.1,0.0165,sell,2,8381.17,60.1
2019-10-11 08:04:33.012,44570980,BTC-18OCT19-8750-C,5,1570781073012,6.0,6.0,0.018000000000000002,buy,0,8387.64,62.65
2019-10-11 08:08:50.679,44575855,BTC-18OCT19-8750-C,6,1570781330679,0.8,0.8,0.0155,sell,2,8347.94,60.45
2019-10-11 08:08:50.679,44575856,BTC-18OCT19-8750-C,7,1570781330679,3.2,3.2,0.0155,sell,3,8347.94,60.45
2019-10-11 08:11:15.693,44577286,BTC-18OCT19-8750-C,8,1570781475693,3.0,3.0,0.0145,sell,2,8337.13,59.2
2019-10-11 08:15:20.120,44579490,BTC-18OCT19-8750-C,10,1570781720120,0.8,0.8,0.0145,sell,3,8334.37,59.48
2019-10-11 08:15:20.120,44579489,BTC-18OCT19-8750-C,9,1570781720120,0.8,0.8,0.0145,sell,3,8334.37,59.48
2019-10-11 08:27:08.921,44581344,BTC-18OCT19-8750-C,11,1570782428921,0.1,0.1,0.0155,sell,0,8363.94,59.34
2019-10-11 08:27:17.963,44581347,BTC-18OCT19-8750-C,12,1570782437963,4.0,4.0,0.015,sell,2,8362.13,58.35
2019-10-11 08:35:08.183,44581993,BTC-18OCT19-8750-C,13,1570782908183,5.0,5.0,0.016,buy,0,8369.19,60.0
2019-10-11 08:35:08.869,44581994,BTC-18OCT19-8750-C,14,1570782908869,1.0,1.0,0.016,buy,1,8369.32,59.98
2019-10-11 08:42:59.748,44582412,BTC-18OCT19-8750-C,15,1570783379748,0.8,0.8,0.0155,sell,2,8367.18,59.13
2019-10-11 08:42:59.748,44582413,BTC-18OCT19-8750-C,16,1570783379748,4.2,4.2,0.015,sell,2,8367.18,58.1
2019-10-11 09:02:50.506,44583788,BTC-18OCT19-8750-C,17,1570784570506,2.0,2.0,0.015,sell,3,8364.03,58.38
2019-10-11 09:42:33.438,44585872,BTC-18OCT19-8750-C,18,1570786953438,1.0,1.0,0.0165,buy,0,8374.01,60.85
2019-10-11 11:01:46.148,44588603,BTC-18OCT19-8750-C,19,1570791706148,0.5,0.5,0.0155,sell,2,8376.96,58.83
2019-10-11 11:22:24.037,44592349,BTC-18OCT19-8750-C,20,1570792944037,0.4,0.4,0.015,sell,2,8308.54,62.68
2019-10-11 11:22:24.190,44592351,BTC-18OCT19-8750-C,21,1570792944190,0.4,0.4,0.015,sell,3,8308.54,62.68
2019-10-11 11:22:24.287,44592352,BTC-18OCT19-8750-C,22,1570792944287,0.4,0.4,0.015,sell,3,8308.54,62.68
2019-10-11 11:22:24.329,44592353,BTC-18OCT19-8750-C,23,1570792944329,0.4,0.4,0.015,sell,3,8308.54,62.68
2019-10-11 11:22:24.367,44592354,BTC-18OCT19-8750-C,24,1570792944367,0.4,0.4,0.015,sell,3,8308.54,62.68
2019-10-11 11:22:33.245,44592665,BTC-18OCT19-8750-C,25,1570792953245,15.0,15.0,0.015,sell,3,8299.62,63.24
2019-10-11 11:22:34.847,44592676,BTC-18OCT19-8750-C,26,1570792954847,13.0,13.0,0.015,sell,3,8298.11,63.37
2019-10-11 11:22:39.924,44592749,BTC-18OCT19-8750-C,27,1570792959924,0.4,0.4,0.0135,buy,2,8292.19,60.59
2019-10-11 11:22:41.243,44592784,BTC-18OCT19-8750-C,28,1570792961243,0.4,0.4,0.0135,buy,3,8293.25,60.67
2019-10-11 11:22:48.297,44593038,BTC-18OCT19-8750-C,29,1570792968297,0.2,0.2,0.0135,buy,3,8298.99,60.3
2019-10-11 11:22:48.297,44593039,BTC-18OCT19-8750-C,30,1570792968297,0.2,0.2,0.0135,buy,3,8298.99,60.3
2019-10-11 11:22:48.522,44593042,BTC-18OCT19-8750-C,31,1570792968522,0.8,0.8,0.0135,buy,3,8298.99,60.3
2019-10-11 11:22:48.522,44593043,BTC-18OCT19-8750-C,32,1570792968522,1.0,1.0,0.0135,buy,3,8298.99,60.3
2019-10-11 11:22:48.529,44593044,BTC-18OCT19-8750-C,33,1570792968529,1.0,1.0,0.0135,sell,3,8298.99,60.3
2019-10-11 11:36:23.457,44595109,BTC-18OCT19-8750-C,34,1570793783457,0.4,0.4,0.014,sell,0,8320.94,59.72
2019-10-11 11:36:23.457,44595110,BTC-18OCT19-8750-C,35,1570793783457,0.1,0.1,0.014,sell,1,8320.94,59.72
2019-10-11 11:46:14.671,44596089,BTC-18OCT19-8750-C,36,1570794374671,0.1,0.1,0.014,sell,1,8329.15,59.22
2019-10-11 11:46:56.915,44596163,BTC-18OCT19-8750-C,37,1570794416915,0.1,0.1,0.014,sell,1,8321.87,59.77
2019-10-11 12:01:31.250,44597970,BTC-18OCT19-8750-C,38,1570795291250,0.4,0.4,0.0135,sell,2,8299.75,60.25
2019-10-11 12:01:31.250,44597971,BTC-18OCT19-8750-C,39,1570795291250,4.6000000000000005,4.6000000000000005,0.0135,sell,3,8299.75,60.25
2019-10-11 12:04:33.612,44598844,BTC-18OCT19-8750-C,41,1570795473612,1.6,1.6,0.0135,sell,3,8312.76,59.37
2019-10-11 12:04:33.612,44598843,BTC-18OCT19-8750-C,40,1570795473612,0.4,0.4,0.0135,sell,3,8312.76,59.37
2019-10-11 12:31:11.307,44600628,BTC-18OCT19-8750-C,42,1570797071307,0.4,0.4,0.016,buy,0,8345.0,62.49
2019-10-11 13:12:46.977,44602966,BTC-18OCT19-8750-C,43,1570799566977,0.1,0.1,0.0155,buy,2,8346.95,61.47
2019-10-11 14:02:39.947,44605288,BTC-18OCT19-8750-C,44,1570802559947,4.0,4.0,0.0135,sell,2,8338.54,57.93
2019-10-11 14:35:02.023,44607934,BTC-18OCT19-8750-C,45,1570804502023,1.0,1.0,0.013,sell,2,8303.2,59.36
2019-10-11 14:35:02.023,44607935,BTC-18OCT19-8750-C,46,1570804502023,0.4,0.4,0.013,sell,3,8303.2,59.36
2019-10-11 14:41:50.582,44608965,BTC-18OCT19-8750-C,47,1570804910582,0.2,0.2,0.0155,buy,0,8330.74,62.87
2019-10-11 15:52:16.338,44613467,BTC-18OCT19-8750-C,48,1570809136338,0.3,0.3,0.014,buy,2,8351.79,58.42
