date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-07 09:07:46.639,43927747,BTC-25OCT19-10000-P,281,1570439266639,0.1,0.1,0.272,buy,0,7891.82,72.81
2019-10-08 18:17:17.586,44091377,BTC-25OCT19-10000-P,282,1570558637586,0.4,0.4,0.231,buy,2,8176.19,76.03
2019-10-09 15:13:03.545,44248895,BTC-25OCT19-10000-P,283,1570633983545,1.0,1.0,0.1895,sell,2,8497.25,77.36
2019-10-09 15:13:04.787,44248963,BTC-25OCT19-10000-P,284,1570633984787,1.0,1.0,0.1895,sell,3,8497.25,77.36
2019-10-10 12:39:01.267,44391861,BTC-25OCT19-10000-P,285,1570711141267,0.1,0.1,0.185,buy,2,8503.05,71.76
2019-10-10 14:34:03.253,44406282,BTC-25OCT19-10000-P,286,1570718043253,0.1,0.1,0.185,buy,3,8495.85,70.03
2019-10-10 18:12:14.390,44424610,BTC-25OCT19-10000-P,287,1570731134390,0.2,0.2,0.1815,buy,2,8522.35,69.91
2019-10-11 08:27:13.961,44581346,BTC-25OCT19-10000-P,288,1570782433961,0.4,0.4,0.1995,buy,0,8362.97,65.07
2019-10-11 09:29:33.803,44585396,BTC-25OCT19-10000-P,289,1570786173803,0.2,0.2,0.185,buy,2,8368.7,0.0
2019-10-16 09:41:42.245,44998934,BTC-25OCT19-10000-P,290,1571218902245,0.2,0.2,0.2375,buy,0,8121.13,99.91
2019-10-17 03:20:21.534,45097929,BTC-25OCT19-10000-P,291,1571282421534,4.0,4.0,0.2595,buy,0,7982.89,111.98
2019-10-17 03:22:05.386,45097942,BTC-25OCT19-10000-P,292,1571282525386,0.8,0.8,0.259,buy,2,7983.12,110.2
2019-10-17 03:22:05.386,45097943,BTC-25OCT19-10000-P,293,1571282525386,2.2,2.2,0.2605,buy,0,7983.12,115.62
2019-10-17 03:23:30.379,45097996,BTC-25OCT19-10000-P,294,1571282610379,2.0,2.0,0.261,buy,0,7985.63,118.55
