date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,25OCT19,7000,P,0.027999999999999997,84.02,12,7898.94,BTC-25OCT19-7000-P
2019-10-07,BTC,25OCT19,7000,P,0.0175,83.64,17,8218.36,BTC-25OCT19-7000-P
2019-10-08,BTC,25OCT19,7000,P,0.016,79.84,21,8133.12,BTC-25OCT19-7000-P
2019-10-09,BTC,25OCT19,7000,P,0.008,82.83,15,8622.58,BTC-25OCT19-7000-P
2019-10-10,BTC,25OCT19,7000,P,0.006999999999999999,82.02,12,8612.25,BTC-25OCT19-7000-P
2019-10-11,BTC,25OCT19,7000,P,0.0075,76.4,22,8339.56,BTC-25OCT19-7000-P
2019-10-12,BTC,25OCT19,7000,P,0.0075,78.93,6,8342.02,BTC-25OCT19-7000-P
2019-10-13,BTC,25OCT19,7000,P,0.0065,83.29,4,8449.79,BTC-25OCT19-7000-P
2019-10-14,BTC,25OCT19,7000,P,0.006,82.11,28,8344.18,BTC-25OCT19-7000-P
2019-10-15,BTC,25OCT19,7000,P,0.0065,79.08,20,8147.23,BTC-25OCT19-7000-P
2019-10-16,BTC,25OCT19,7000,P,0.0058,74.16,22,8007.59,BTC-25OCT19-7000-P
2019-10-17,BTC,25OCT19,7000,P,0.005,79.19,10,8072.16,BTC-25OCT19-7000-P
