date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-03-31,BTC,27DEC19,10000,P,1.4475,0.0,1,4092.83,BTC-27DEC19-10000-P
2019-05-12,BTC,27DEC19,10000,P,0.56,75.8,1,6954.4,BTC-27DEC19-10000-P
2019-05-14,BTC,27DEC19,10000,P,0.438,96.29,2,8214.02,BTC-27DEC19-10000-P
2019-05-29,BTC,27DEC19,10000,P,0.35700000000000004,85.92,1,8473.11,BTC-27DEC19-10000-P
2019-06-07,BTC,27DEC19,10000,P,0.417,76.62,2,7802.87,BTC-27DEC19-10000-P
2019-06-08,BTC,27DEC19,10000,P,0.386,71.51,1,7943.57,BTC-27DEC19-10000-P
2019-06-10,BTC,27DEC19,10000,P,0.4185,72.9,1,7722.93,BTC-27DEC19-10000-P
2019-06-11,BTC,27DEC19,10000,P,0.4205,72.83,1,7757.33,BTC-27DEC19-10000-P
2019-06-12,BTC,27DEC19,10000,P,0.3765,71.04,1,8017.77,BTC-27DEC19-10000-P
2019-06-16,BTC,27DEC19,10000,P,0.265,74.58,2,9065.8,BTC-27DEC19-10000-P
2019-06-17,BTC,27DEC19,10000,P,0.257,79.12,2,9364.42,BTC-27DEC19-10000-P
2019-10-06,BTC,27DEC19,10000,P,0.35,81.59,1,7797.35,BTC-27DEC19-10000-P
2019-10-07,BTC,27DEC19,10000,P,0.295,83.97,2,8257.17,BTC-27DEC19-10000-P
2019-10-08,BTC,27DEC19,10000,P,0.2815,79.83,2,8295.99,BTC-27DEC19-10000-P
2019-10-09,BTC,27DEC19,10000,P,0.2445,79.34,2,8608.61,BTC-27DEC19-10000-P
2019-10-10,BTC,27DEC19,10000,P,0.2565,81.31,1,8521.3,BTC-27DEC19-10000-P
2019-10-11,BTC,27DEC19,10000,P,0.27,79.97,2,8349.62,BTC-27DEC19-10000-P
2019-10-13,BTC,27DEC19,10000,P,0.281,80.28,3,8249.71,BTC-27DEC19-10000-P
2019-10-15,BTC,27DEC19,10000,P,0.277,74.67,1,8173.22,BTC-27DEC19-10000-P
2019-10-16,BTC,27DEC19,10000,P,0.302,74.98,2,7960.8,BTC-27DEC19-10000-P
2019-10-17,BTC,27DEC19,10000,P,0.295,72.02,4,7985.26,BTC-27DEC19-10000-P
