date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-06 12:57:34.036,43830993,BTC-27MAR20-10000-P,181,1570366654036,0.1,0.1,0.4025,buy,0,7959.41,86.75
2019-10-08 10:58:49.723,44040172,BTC-27MAR20-10000-P,182,1570532329723,3.6,3.6,0.359,sell,2,8171.63,81.98
2019-10-08 10:59:54.605,44040343,BTC-27MAR20-10000-P,183,1570532394605,5.0,5.0,0.3625,buy,0,8174.16,83.38
2019-10-08 16:02:32.988,44078586,BTC-27MAR20-10000-P,184,1570550552988,0.5,0.5,0.365,buy,0,8180.11,84.69
2019-10-08 16:25:40.755,44081945,BTC-27MAR20-10000-P,185,1570551940755,0.4,0.4,0.36,buy,2,8195.77,83.42
2019-10-08 22:01:08.074,44115318,BTC-27MAR20-10000-P,186,1570572068074,0.5,0.5,0.359,sell,2,8173.3,82.2
2019-10-10 01:48:33.819,44347319,BTC-27MAR20-10000-P,187,1570672113819,0.1,0.1,0.315,buy,2,8563.14,81.97
2019-10-10 09:02:58.468,44368663,BTC-27MAR20-10000-P,188,1570698178468,0.5,0.5,0.3155,sell,0,8563.9,82.44
2019-10-10 09:38:35.286,44372606,BTC-27MAR20-10000-P,189,1570700315286,0.1,0.1,0.32,buy,0,8553.62,83.53
2019-10-10 09:44:15.421,44373612,BTC-27MAR20-10000-P,190,1570700655421,0.1,0.1,0.32,buy,1,8535.75,82.92
2019-10-11 04:44:50.721,44469559,BTC-27MAR20-10000-P,191,1570769090721,1.0,1.0,0.316,sell,2,8617.76,84.29
2019-10-11 05:29:52.430,44528572,BTC-27MAR20-10000-P,192,1570771792430,0.5,0.5,0.326,sell,0,8412.57,80.39
2019-10-11 05:30:19.626,44529357,BTC-27MAR20-10000-P,193,1570771819626,1.0,1.0,0.3445,buy,0,8404.31,87.18
2019-10-12 13:45:52.857,44675635,BTC-27MAR20-10000-P,194,1570887952857,3.0,3.0,0.343,sell,2,8337.11,84.38
2019-10-12 21:09:22.847,44697892,BTC-27MAR20-10000-P,195,1570914562847,1.1,1.1,0.342,sell,2,8345.67,84.32
2019-10-12 21:11:31.561,44697916,BTC-27MAR20-10000-P,196,1570914691561,1.9,1.9,0.3435,sell,0,8341.08,84.87
2019-10-12 21:48:34.091,44698392,BTC-27MAR20-10000-P,197,1570916914091,1.0,1.0,0.3435,sell,1,8333.14,84.75
2019-10-13 21:04:37.526,44782620,BTC-27MAR20-10000-P,198,1571000677526,0.6,0.6,0.3415,buy,2,8248.88,81.31
