date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,27MAR20,40000,C,0.0095,110.27,1,7862.89,BTC-27MAR20-40000-C
2019-10-07,BTC,27MAR20,40000,C,0.0105,110.11,3,8154.13,BTC-27MAR20-40000-C
2019-10-08,BTC,27MAR20,40000,C,0.008,105.85,7,8196.3,BTC-27MAR20-40000-C
2019-10-09,BTC,27MAR20,40000,C,0.0095,106.23,8,8579.28,BTC-27MAR20-40000-C
2019-10-10,BTC,27MAR20,40000,C,0.0115,109.73,4,8564.36,BTC-27MAR20-40000-C
2019-10-11,BTC,27MAR20,40000,C,0.011000000000000001,110.74,3,8345.12,BTC-27MAR20-40000-C
2019-10-13,BTC,27MAR20,40000,C,0.009,108.42,5,8293.47,BTC-27MAR20-40000-C
2019-10-15,BTC,27MAR20,40000,C,0.0085,107.99,1,8306.86,BTC-27MAR20-40000-C
2019-10-16,BTC,27MAR20,40000,C,0.007,107.59,2,7968.07,BTC-27MAR20-40000-C
2019-10-17,BTC,27MAR20,40000,C,0.006,105.14,1,8053.83,BTC-27MAR20-40000-C
