date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,27MAR20,6000,P,0.1045,86.94,12,7881.21,BTC-27MAR20-6000-P
2019-10-07,BTC,27MAR20,6000,P,0.08900000000000001,86.38,11,8238.22,BTC-27MAR20-6000-P
2019-10-08,BTC,27MAR20,6000,P,0.08800000000000001,85.67,4,8188.36,BTC-27MAR20-6000-P
2019-10-09,BTC,27MAR20,6000,P,0.086,85.16,3,8183.51,BTC-27MAR20-6000-P
2019-10-10,BTC,27MAR20,6000,P,0.0755,85.49,5,8502.88,BTC-27MAR20-6000-P
2019-10-11,BTC,27MAR20,6000,P,0.0805,85.77,4,8343.34,BTC-27MAR20-6000-P
2019-10-12,BTC,27MAR20,6000,P,0.0815,86.41,2,8334.68,BTC-27MAR20-6000-P
2019-10-13,BTC,27MAR20,6000,P,0.08,84.54,3,8261.45,BTC-27MAR20-6000-P
2019-10-14,BTC,27MAR20,6000,P,0.0795,85.35,2,8307.24,BTC-27MAR20-6000-P
2019-10-15,BTC,27MAR20,6000,P,0.076,80.86,16,8146.02,BTC-27MAR20-6000-P
2019-10-16,BTC,27MAR20,6000,P,0.0835,81.11,4,7940.8,BTC-27MAR20-6000-P
2019-10-17,BTC,27MAR20,6000,P,0.074,79.34,3,8099.32,BTC-27MAR20-6000-P
