date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,29NOV19,8000,C,0.114,79.27,4,7870.53,BTC-29NOV19-8000-C
2019-10-07,BTC,29NOV19,8000,C,0.1325,79.99,5,8195.5,BTC-29NOV19-8000-C
2019-10-08,BTC,29NOV19,8000,C,0.1285,76.67,4,8211.52,BTC-29NOV19-8000-C
2019-10-09,BTC,29NOV19,8000,C,0.124,74.89,2,8184.99,BTC-29NOV19-8000-C
2019-10-11,BTC,29NOV19,8000,C,0.1295,73.83,8,8344.55,BTC-29NOV19-8000-C
2019-10-12,BTC,29NOV19,8000,C,0.1275,74.09,1,8334.28,BTC-29NOV19-8000-C
2019-10-13,BTC,29NOV19,8000,C,0.1215,73.95,1,8250.0,BTC-29NOV19-8000-C
2019-10-14,BTC,29NOV19,8000,C,0.1225,70.63,12,8350.5,BTC-29NOV19-8000-C
2019-10-15,BTC,29NOV19,8000,C,0.121,70.17,7,8338.69,BTC-29NOV19-8000-C
2019-10-16,BTC,29NOV19,8000,C,0.097,68.6,8,8013.48,BTC-29NOV19-8000-C
2019-10-17,BTC,29NOV19,8000,C,0.1015,68.06,8,8110.22,BTC-29NOV19-8000-C
