date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,BTC,29NOV19,8000,P,0.125,78.1,1,7915.06,BTC-29NOV19-8000-P
2019-10-07,BTC,29NOV19,8000,P,0.102,76.37,7,8190.75,BTC-29NOV19-8000-P
2019-10-08,BTC,29NOV19,8000,P,0.10300000000000001,77.64,4,8165.15,BTC-29NOV19-8000-P
2019-10-09,BTC,29NOV19,8000,P,0.09699999999999999,75.95,5,8206.66,BTC-29NOV19-8000-P
2019-10-10,BTC,29NOV19,8000,P,0.078,76.02,8,8524.34,BTC-29NOV19-8000-P
2019-10-11,BTC,29NOV19,8000,P,0.086,75.22,12,8330.87,BTC-29NOV19-8000-P
2019-10-12,BTC,29NOV19,8000,P,0.087,76.22,6,8321.36,BTC-29NOV19-8000-P
2019-10-13,BTC,29NOV19,8000,P,0.081,73.48,14,8337.26,BTC-29NOV19-8000-P
2019-10-14,BTC,29NOV19,8000,P,0.0775,72.29,15,8339.58,BTC-29NOV19-8000-P
2019-10-15,BTC,29NOV19,8000,P,0.087,71.19,2,8150.25,BTC-29NOV19-8000-P
2019-10-16,BTC,29NOV19,8000,P,0.095,71.39,16,8008.14,BTC-29NOV19-8000-P
2019-10-17,BTC,29NOV19,8000,P,0.0855,68.23,14,8066.55,BTC-29NOV19-8000-P
