date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,ETH,18OCT19,170,P,0.057999999999999996,84.53,2,170.42,ETH-18OCT19-170-P
2019-10-07,ETH,18OCT19,170,P,0.026000000000000002,77.36,1,180.92,ETH-18OCT19-170-P
2019-10-08,ETH,18OCT19,170,P,0.023,74.18,2,180.11,ETH-18OCT19-170-P
2019-10-09,ETH,18OCT19,170,P,0.012,84.39,5,191.36,ETH-18OCT19-170-P
2019-10-10,ETH,18OCT19,170,P,0.01,86.14,4,191.46,ETH-18OCT19-170-P
2019-10-11,ETH,18OCT19,170,P,0.017,79.78,29,181.29,ETH-18OCT19-170-P
2019-10-12,ETH,18OCT19,170,P,0.012,66.96,2,179.39,ETH-18OCT19-170-P
2019-10-13,ETH,18OCT19,170,P,0.008,77.02,4,184.05,ETH-18OCT19-170-P
2019-10-14,ETH,18OCT19,170,P,0.004,78.91,13,186.59,ETH-18OCT19-170-P
2019-10-15,ETH,18OCT19,170,P,0.006,76.22,7,179.64,ETH-18OCT19-170-P
2019-10-16,ETH,18OCT19,170,P,0.011,84.32,5,174.25,ETH-18OCT19-170-P
2019-10-17,ETH,18OCT19,170,P,0.002,96.42,9,176.36,ETH-18OCT19-170-P
