date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-06 11:08:11.039,8362101,ETH-25OCT19-180-P,91,1570360091039,10.0,10.0,0.1,sell,2,174.57,91.49
2019-10-06 22:03:01.507,8380490,ETH-25OCT19-180-P,92,1570399381507,180.0,180.0,0.113,sell,0,170.9,91.75
2019-10-07 09:44:17.169,8393817,ETH-25OCT19-180-P,93,1570441457169,2.0,2.0,0.10300000000000001,sell,2,173.88,94.05
2019-10-07 17:32:01.323,8409559,ETH-25OCT19-180-P,94,1570469521323,1.0,1.0,0.07200000000000001,sell,2,181.67,88.29
2019-10-08 01:39:24.926,8419398,ETH-25OCT19-180-P,95,1570498764926,20.0,20.0,0.07,sell,2,182.85,90.8
2019-10-08 04:30:08.203,8424266,ETH-25OCT19-180-P,96,1570509008203,20.0,20.0,0.07200000000000001,buy,0,182.95,94.06
2019-10-08 06:17:25.152,8425932,ETH-25OCT19-180-P,97,1570515445152,20.0,20.0,0.071,sell,2,182.63,92.18
2019-10-08 10:07:40.247,8430143,ETH-25OCT19-180-P,98,1570529260247,20.0,20.0,0.07,sell,2,181.76,88.62
2019-10-08 12:38:37.681,8433948,ETH-25OCT19-180-P,99,1570538317681,2.0,2.0,0.069,sell,2,181.6,86.98
2019-10-09 18:15:59.977,8486894,ETH-25OCT19-180-P,100,1570644959977,10.0,10.0,0.043,sell,2,192.81,90.75
2019-10-09 20:42:28.748,8490780,ETH-25OCT19-180-P,101,1570653748748,25.0,25.0,0.042,sell,2,192.38,88.41
2019-10-09 22:38:56.412,8494093,ETH-25OCT19-180-P,102,1570660736412,5.0,5.0,0.042,buy,3,193.6,91.7
2019-10-10 07:22:48.170,8504856,ETH-25OCT19-180-P,103,1570692168170,20.0,20.0,0.039,sell,2,192.93,86.99
2019-10-11 18:35:33.220,8585448,ETH-25OCT19-180-P,104,1570818933220,55.0,55.0,0.057,buy,0,180.58,77.45
2019-10-12 00:38:13.355,8592094,ETH-25OCT19-180-P,105,1570840693355,2.0,2.0,0.054000000000000006,sell,2,182.54,80.84
2019-10-12 12:51:08.607,8601606,ETH-25OCT19-180-P,106,1570884668607,10.0,10.0,0.051,sell,2,183.33,81.15
2019-10-12 12:53:10.046,8601632,ETH-25OCT19-180-P,107,1570884790046,180.0,180.0,0.051,sell,3,183.39,81.35
2019-10-12 18:13:25.928,8607343,ETH-25OCT19-180-P,108,1570904005928,10.0,10.0,0.052,buy,0,180.9,74.58
2019-10-14 16:29:07.878,8659711,ETH-25OCT19-180-P,109,1571070547878,1.0,1.0,0.044,buy,2,181.73,72.58
2019-10-14 16:51:46.115,8665964,ETH-25OCT19-180-P,110,1571071906115,120.0,120.0,0.034,sell,2,185.52,71.5
2019-10-15 00:01:48.864,8673805,ETH-25OCT19-180-P,111,1571097708864,2.0,2.0,0.03,sell,2,188.17,74.51
2019-10-15 04:01:49.330,8678240,ETH-25OCT19-180-P,112,1571112109330,2.0,2.0,0.035,buy,0,184.17,70.16
2019-10-15 04:01:49.330,8678241,ETH-25OCT19-180-P,113,1571112109330,1.0,1.0,0.035,buy,1,184.17,70.16
2019-10-15 14:55:33.195,8687746,ETH-25OCT19-180-P,114,1571151333195,1.0,1.0,0.04,buy,0,181.84,70.41
2019-10-15 16:33:50.933,8702709,ETH-25OCT19-180-P,115,1571157230933,2.0,2.0,0.051,buy,0,179.94,79.09
2019-10-16 06:47:31.494,8717934,ETH-25OCT19-180-P,116,1571208451494,3.0,3.0,0.048,sell,2,179.62,75.48
2019-10-16 06:51:23.328,8717991,ETH-25OCT19-180-P,117,1571208683328,3.0,3.0,0.049,sell,0,179.38,75.88
2019-10-16 14:32:06.803,8736290,ETH-25OCT19-180-P,118,1571236326803,120.0,120.0,0.064,sell,0,173.59,69.34
2019-10-16 17:32:09.310,8744399,ETH-25OCT19-180-P,119,1571247129310,1.0,1.0,0.063,sell,2,173.32,66.0
2019-10-17 02:59:43.615,8751991,ETH-25OCT19-180-P,120,1571281183615,30.0,30.0,0.06,buy,2,173.95,66.91
2019-10-17 16:18:33.167,8763413,ETH-25OCT19-180-P,121,1571329113167,1.0,1.0,0.047,sell,2,178.17,71.94
2019-10-17 19:34:18.305,8766533,ETH-25OCT19-180-P,122,1571340858305,1.0,1.0,0.05,buy,0,177.03,71.8
