date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-07,ETH,25OCT19,200,C,0.04,92.12,8,179.51,ETH-25OCT19-200-C
2019-10-08,ETH,25OCT19,200,C,0.035,84.67,10,180.76,ETH-25OCT19-200-C
2019-10-09,ETH,25OCT19,200,C,0.061,89.01,17,194.39,ETH-25OCT19-200-C
2019-10-10,ETH,25OCT19,200,C,0.047,80.94,10,191.96,ETH-25OCT19-200-C
2019-10-11,ETH,25OCT19,200,C,0.022000000000000002,77.51,8,179.8,ETH-25OCT19-200-C
2019-10-12,ETH,25OCT19,200,C,0.019,75.61,10,179.67,ETH-25OCT19-200-C
2019-10-13,ETH,25OCT19,200,C,0.022,83.38,4,180.08,ETH-25OCT19-200-C
2019-10-14,ETH,25OCT19,200,C,0.023,73.53,9,186.3,ETH-25OCT19-200-C
2019-10-15,ETH,25OCT19,200,C,0.012,70.5,15,180.65,ETH-25OCT19-200-C
2019-10-16,ETH,25OCT19,200,C,0.01,77.9,2,176.12,ETH-25OCT19-200-C
2019-10-17,ETH,25OCT19,200,C,0.008,77.88,2,176.14,ETH-25OCT19-200-C
