date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,ETH,27DEC19,200,C,0.142,109.89,9,168.3,ETH-27DEC19-200-C
2019-10-07,ETH,27DEC19,200,C,0.158,106.19,7,179.8,ETH-27DEC19-200-C
2019-10-08,ETH,27DEC19,200,C,0.149,100.4,3,180.86,ETH-27DEC19-200-C
2019-10-09,ETH,27DEC19,200,C,0.149,100.78,1,180.72,ETH-27DEC19-200-C
2019-10-10,ETH,27DEC19,200,C,0.179,102.84,2,193.76,ETH-27DEC19-200-C
2019-10-11,ETH,27DEC19,200,C,0.142,98.61,1,181.27,ETH-27DEC19-200-C
2019-10-12,ETH,27DEC19,200,C,0.145,97.94,1,183.63,ETH-27DEC19-200-C
2019-10-13,ETH,27DEC19,200,C,0.153,103.46,2,183.56,ETH-27DEC19-200-C
2019-10-14,ETH,27DEC19,200,C,0.135,90.16,1,186.42,ETH-27DEC19-200-C
2019-10-15,ETH,27DEC19,200,C,0.111,84.79,2,180.16,ETH-27DEC19-200-C
2019-10-16,ETH,27DEC19,200,C,0.092,82.79,9,173.13,ETH-27DEC19-200-C
2019-10-17,ETH,27DEC19,200,C,0.093,79.92,1,176.32,ETH-27DEC19-200-C
