date_utc,ticker,expirationDate,strike,right,close_btc,iv,volume,underlyingPrice,contract
2019-10-06,ETH,27MAR20,160,P,0.23600000000000002,104.35,1,170.34,ETH-27MAR20-160-P
2019-10-07,ETH,27MAR20,160,P,0.213,107.64,1,180.21,ETH-27MAR20-160-P
2019-10-08,ETH,27MAR20,160,P,0.2,101.38,1,178.41,ETH-27MAR20-160-P
2019-10-09,ETH,27MAR20,160,P,0.168,101.88,1,191.5,ETH-27MAR20-160-P
2019-10-10,ETH,27MAR20,160,P,0.179,104.83,2,189.27,ETH-27MAR20-160-P
2019-10-11,ETH,27MAR20,160,P,0.19,99.62,2,180.17,ETH-27MAR20-160-P
2019-10-12,ETH,27MAR20,160,P,0.185,97.33,10,180.15,ETH-27MAR20-160-P
2019-10-14,ETH,27MAR20,160,P,0.163,95.77,5,186.25,ETH-27MAR20-160-P
2019-10-15,ETH,27MAR20,160,P,0.172,91.41,5,178.78,ETH-27MAR20-160-P
2019-10-16,ETH,27MAR20,160,P,0.189,92.61,4,173.6,ETH-27MAR20-160-P
