date_utc,tradeId,instrument,tradeSeq,timeStamp,quantity,amount,price,direction,tickDirection,indexPrice,iv
2019-10-08 08:04:30.471,8427457,ETH-29NOV19-240-C,6,1570521870471,20.0,20.0,0.052000000000000005,sell,0,180.85,95.72
2019-10-10 10:09:33.323,8511107,ETH-29NOV19-240-C,7,1570702173323,131.0,131.0,0.051,buy,2,188.91,88.55
2019-10-12 08:23:44.456,8597476,ETH-29NOV19-240-C,8,1570868624456,1.0,1.0,0.040999999999999995,buy,2,183.89,87.48
2019-10-12 09:01:15.180,8597733,ETH-29NOV19-240-C,9,1570870875180,2.0,2.0,0.044000000000000004,buy,0,184.05,89.9
2019-10-12 12:48:51.613,8601601,ETH-29NOV19-240-C,10,1570884531613,2.0,2.0,0.042,buy,2,183.4,89.1
2019-10-12 15:44:36.757,8604347,ETH-29NOV19-240-C,11,1570895076757,1.0,1.0,0.045,buy,0,183.29,91.83
2019-10-13 12:22:51.608,8631927,ETH-29NOV19-240-C,12,1570969371608,1.0,1.0,0.043,buy,2,183.73,90.51
2019-10-13 20:13:50.816,8641608,ETH-29NOV19-240-C,13,1570997630816,220.0,220.0,0.035,sell,2,180.55,86.84
2019-10-13 20:13:52.831,8641621,ETH-29NOV19-240-C,14,1570997632831,220.0,220.0,0.035,buy,3,180.66,86.83
2019-10-14 13:28:21.265,8656550,ETH-29NOV19-240-C,15,1571059701265,29.0,29.0,0.032,buy,2,183.28,81.83
2019-10-14 17:59:54.120,8668670,ETH-29NOV19-240-C,16,1571075994120,1.0,1.0,0.037,buy,0,186.42,83.39
2019-10-16 08:11:10.729,8719745,ETH-29NOV19-240-C,17,1571213470729,1.0,1.0,0.024,buy,2,178.77,79.56
2019-10-16 09:36:57.498,8720573,ETH-29NOV19-240-C,18,1571218617498,4.0,4.0,0.029,buy,0,178.45,85.26
